source,target,normalized_score,interaction_type
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000325863,66.4,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000260947,65.7,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000419881,72.0,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000229758,68.2,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000368100,51.0,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000369497,79.4,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000261584,95.2,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000352271,72.0,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000466399,63.9,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000278616,62.8,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000382628,66.6,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000259008,63.8,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000418960,85.4,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000336701,71.5,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000493712,99.6,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000347232,69.2,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000265433,51.3,ppi
stringdb:9606.ENSP00000228843,stringdb:9606.ENSP00000287647,48.0,ppi
stringdb:9606.ENSP00000229304,stringdb:9606.ENSP00000351015,57.3,ppi
stringdb:9606.ENSP00000229758,stringdb:9606.ENSP00000493712,56.7,ppi
stringdb:9606.ENSP00000229758,stringdb:9606.ENSP00000260947,50.4,ppi
stringdb:9606.ENSP00000229758,stringdb:9606.ENSP00000418960,60.4,ppi
stringdb:9606.ENSP00000229758,stringdb:9606.ENSP00000347232,43.5,ppi
stringdb:9606.ENSP00000231790,stringdb:9606.ENSP00000337088,55.6,ppi
stringdb:9606.ENSP00000231790,stringdb:9606.ENSP00000267430,70.5,ppi
stringdb:9606.ENSP00000231790,stringdb:9606.ENSP00000289081,54.8,ppi
stringdb:9606.ENSP00000231790,stringdb:9606.ENSP00000382628,54.9,ppi
