id,name,ncbi_id
stringdb:9606.ENSP00000269571,ERBB2,NCBI_ID_0
stringdb:9606.ENSP00000229758,FBXO5,NCBI_ID_1
stringdb:9606.ENSP00000267430,FANCM,NCBI_ID_2
stringdb:9606.ENSP00000314505,MCM9,NCBI_ID_3
stringdb:9606.ENSP00000257700,RINT1,NCBI_ID_4
stringdb:9606.ENSP00000419881,RAD51B,NCBI_ID_5
stringdb:9606.ENSP00000259008,BRIP1,NCBI_ID_6
stringdb:9606.ENSP00000347232,BLM,NCBI_ID_7
stringdb:9606.ENSP00000369857,ABRAXAS1,NCBI_ID_8
stringdb:9606.ENSP00000306682,PPM1D,NCBI_ID_9
stringdb:9606.ENSP00000257430,APC,NCBI_ID_10
stringdb:9606.ENSP00000261769,CDH1,NCBI_ID_11
stringdb:9606.ENSP00000372023,CHEK2,NCBI_ID_12
stringdb:9606.ENSP00000265849,PMS2,NCBI_ID_13
stringdb:9606.ENSP00000339637,BRAT1,NCBI_ID_14
stringdb:9606.ENSP00000342924,MCPH1,NCBI_ID_15
stringdb:9606.ENSP00000382628,RBBP8,NCBI_ID_16
stringdb:9606.ENSP00000361021,PTEN,NCBI_ID_17
stringdb:9606.ENSP00000343412,BABAM2,NCBI_ID_18
stringdb:9606.ENSP00000234420,MSH6,NCBI_ID_19
stringdb:9606.ENSP00000231790,MLH1,NCBI_ID_20
stringdb:9606.ENSP00000368100,RAD50,NCBI_ID_21
stringdb:9606.ENSP00000352408,BABAM1,NCBI_ID_22
stringdb:9606.ENSP00000399851,POLG,NCBI_ID_23
stringdb:9606.ENSP00000357979,NR2E1,NCBI_ID_24
stringdb:9606.ENSP00000289081,FANCC,NCBI_ID_25
stringdb:9606.ENSP00000493712,RAD51,NCBI_ID_26
stringdb:9606.ENSP00000419665,SSBP1,NCBI_ID_27
stringdb:9606.ENSP00000500891,MUTYH,NCBI_ID_28
stringdb:9606.ENSP00000325863,MRE11,NCBI_ID_29
stringdb:9606.ENSP00000493555,TEX15,NCBI_ID_30
stringdb:9606.ENSP00000450540,SERPINA3,NCBI_ID_31
stringdb:9606.ENSP00000435506,POLN,NCBI_ID_32
stringdb:9606.ENSP00000261584,PALB2,NCBI_ID_33
stringdb:9606.ENSP00000269305,TP53,NCBI_ID_34
stringdb:9606.ENSP00000229304,APOBEC1,NCBI_ID_35
stringdb:9606.ENSP00000278616,ATM,NCBI_ID_36
stringdb:9606.ENSP00000336701,RAD51C,NCBI_ID_37
stringdb:9606.ENSP00000352271,XRCC2,NCBI_ID_38
stringdb:9606.ENSP00000323099,ATRIP,NCBI_ID_39
stringdb:9606.ENSP00000418960,BRCA1,NCBI_ID_40
stringdb:9606.ENSP00000233146,MSH2,NCBI_ID_41
stringdb:9606.ENSP00000324856,STK11,NCBI_ID_42
stringdb:9606.ENSP00000287647,FANCD2,NCBI_ID_43
stringdb:9606.ENSP00000265433,NBN,NCBI_ID_44
stringdb:9606.ENSP00000369497,BRCA2,NCBI_ID_45
stringdb:9606.ENSP00000351015,NF1,NCBI_ID_46
stringdb:9606.ENSP00000416739,RECQL,NCBI_ID_47
stringdb:9606.ENSP00000260947,BARD1,NCBI_ID_48
stringdb:9606.ENSP00000337088,MEN1,NCBI_ID_49
stringdb:9606.ENSP00000290295,HOXB13,NCBI_ID_50
stringdb:9606.ENSP00000228843,RAD51AP1,NCBI_ID_51
stringdb:9606.ENSP00000466399,RAD51D,NCBI_ID_52
